start,end,speaker,text
3624.24,3628.24,MOT,あと4分ほら どうだ
3628.24,3638.24,CHI,どうだ ありがとう 父さんの 父さんの 歯がけてきたの
3638.24,3640.24,MOT,これ肉を買いに行こう
3654.24,3668.24,MOT,これ何だ これ何だ ブーブー ブーブーだ ブータさんブーブー ブーブーが ラッパーって吹いてね
3668.24,3670.24,CHI,ブーって
3670.24,3698.24,MOT,これ 取るの 開けて こっち こっちした こっちした こっちした こっちしたな 父さんとおまめさん 食べてるね これは ちゅっちゅ ちゅっちゅ ちゅっちゅがほら
3698.24,3702.24,CHI,部分のってるよ ペイチュー
3702.24,3704.24,MOT,何
3704.24,3708.24,CHI,こっちこっち バーブー
3708.24,3716.24,MOT,卵 醤油 醤油と ご飯と混ぜて食べるね
3718.24,3728.24,MOT,帽子 帽子アヒルさんが 噛むりよこれ 王子様レッシーが王子様やから 噛むりかぶってるやろ
3728.24,3730.24,CHI,猫
3732.24,3740.24,MOT,これが猫が何つけてるの これおめめにつけるの 何 おめめにかね
3742.24,3744.24,CHI,綺麗ね
3744.24,3746.24,MOT,綺麗ねお花
3746.24,3748.24,CHI,これ
3748.24,3764.24,MOT,バケツ 父さんと 父さんと 車を掃除した時に使ったね うん 父さんと 父さんと 車を掃除した時に使うやろ
3768.24,3770.24,MOT,これは
3772.24,3788.24,MOT,ガンガン ガンガン ここよ道ここ開いてるところ ここあるやん ほろ ガーガーガー ボールの上に乗ってる ガーガーゴールの上に乗ってるね
3792.24,3794.24,MOT,これは
3794.24,3796.24,CHI,アップ
3796.24,3806.24,MOT,アップ この トラックの中に 乗ってるね アップ
3810.24,3830.24,MOT,アーマーゴー トリュウト 醤油と ご飯と ご飯と入れて 混ぜるね ちょくちょくちょくって混ぜるね そういうの入れたら ラメよでもね 辛い辛いからね
3832.24,3836.24,MOT,土地を乗ってるよ 土地を乗ってるよ
3838.24,3854.24,MOT,靴下 父さんと 父さんと 今日道靴下入ってね 父さんが履けるよね 履けようって 痛いなカタオ 痛いよね
3856.24,3890.24,MOT,痛い アマゴー アマゴー これは ウサギさん ピョンピョンやな あ〜そうそうね お洋服着るときウサギさんがあるね 道ね お洋服着るときウサギさんがあるね 帽子 こっち向いたら帽子やろう 帽子の中に あ サギさんが バーニーポープサードブズー ハート
3892.24,3904.24,MOT,サギさんの帽子の中に入りました うん ここに こっち当たっちゃう サギちゃん入ったね あら
3904.24,3906.24,CHI,ソークス
3908.24,3912.24,CHI,アマゴー タマゴー
3912.24,3920.24,MOT,タマゴー タマゴー タマゴー タマゴーそんなの
3920.24,3924.24,CHI,タマゴー ブーブー
3924.24,3932.24,MOT,ブー ポンさんと ブーブーの手 どこ行ったの
3932.24,3938.24,CHI,ブーブーの手 ブーブー ブーブー
3938.24,3952.24,MOT,ブーブー それなんだ ゴミ集める車や じゃんじゃん じゃんじゃん ってくれろ ゴミ集める
3952.24,3954.24,CHI,ゴミ集める車が
3954.24,4004.24,MOT,じゃん ブーブー あ道これは こら こっくりとみきさーしあや こっち こっくり コンクリート みきさーしあ こっち ブーブー ブーブー ブーブー ブーブー こっち みっちんもブーブー ブーブー ブーブー ブーブー ブーブー あみちから どうさー何分手してる 分点分点 はい 何でな
4012.24,4014.24,MOT,どうさ来た
4018.24,4044.24,MOT,どうさ来た 見える おいって呼んでごらん おい どうさーって どうさ どうさおいって これもう終わってる ってことかな 1時間ね もう終わったらみっちん終わり 終わり 終わり
4046.24,4107.24,MOT,終わり 終わり 終わり 終わり どうさ来たらみに行く え? これだけみに行く みに行くわ 自転車で行くやろ みに行く みに行く これどうやって止めるのかな 止める みに行く おいでー おいでー みっちんじゃあお語付けしようよ お語付け お語付け さーさみんなで お語付け お語付け お語付け さーさみんなで お語付け お語付け みっちん色のいくつ持ってきて 色のいくつ持ってきて お語付け 片付け、そーさみなで
4108.24,4110.24,MOT,ここ入れて、入れます。
4111.24,4117.24,MOT,入れて、ちょーだい お片付け、お片付け
4118.24,4122.24,MOT,さーさみなで、お片付け 入れて
4123.24,4125.24,MOT,絵本はどこ?
4126.24,4129.24,MOT,道、せっかくお片付けしたのに、そんなやらんとって
4130.24,4132.24,MOT,ちゃい!
4133.24,4135.24,MOT,お片付けしていくんだろ?
4136.24,4138.24,MOT,お片付けしてないと、いかれへんわ
4140.24,4143.24,MOT,いく? いくんだろ? お片付けして
4147.24,4157.24,MOT,お片付け お片付け そーさみなで お片付け お片付け
4158.24,4162.24,CHI,お片付け そーさみなで
4162.24,4164.24,MOT,お片付け
4165.24,4173.24,MOT,お片付け お片付けた どうも あはーい お片付けたよ
4175.24,4188.24,MOT,おら、みいちゃん みいちゃん みいちゃん、なんか分けが分からない みいちゃん、みじちゃん 知らない前に連れてこられた みじちゃん、パーだ みいちゃんも、ていいな
4190.24,4234.24,MOT,どうも、ありがとう 一緒 パーだ、一緒 今日は細かいものを いつも写してますよね なんかあります? いつもと同じだったらいいんですけど だいたい一緒です だっこ だっこ だっこね パンマンくらい あんまり言わなかったけど 私が言っているから みいちゃん、これ、アンパンマン アンパンマン アンパンマン アンパンマンだよ 見てるんですか 小森 お前ね、おにぎっつけ中で 出かけてないんだけど
4236.24,4310.24,MOT,アンパンマン いぜちゃーやね 嫌だ 嫌なんだ なんでも嫌って言うの そう? そうよね みずいちゃんのパンだよ それ パンだの上に だっこしてる だっこ みじみ みじみもだっこして あこちゃん あこちゃん あこちゃん あこちゃん だっこ 今 今あそこにいられるのは おじさんというか もともとの方ですよね ちょっと混乱してるかもしれない 僕さっき電話した時 にじだですって言って 電話してるでしょ 今ご主人ぐらいのご主人が ちょうどいらして かしまさんがいらしているとか おつかすきて 耳がいわいんですよ そうなんです おじさんがこわるやん こっちは分かる かしてあげや みちだけ
4310.24,4312.24,CHI,嫌
4314.24,4326.24,MOT,かしてあげないよ ねえ みじみ いいやん みちしきやろ とみみちゃんと
4326.24,4328.24,CHI,こっち
4328.24,4500.24,MOT,あかちゃんと あみち白いおっぱい風船がある ほら おっぱい風船 こっち 黄色はいいの ふんせん ふんせん みちはいチーズ ピースは? みち みっちほら あしもこちゃんと なに? カメラ ほらか あ、一応か あかちゃんが じゃあ、かあちゃんがとるからピースして ピースして おかめ ピースほら かあちゃんとるから ピースして ピース あらら、横向きだった ピース ピース みーちゃんもピース みーちゃんもいったら ピースしよう 一緒にとる 二人横並んでみっちぃ ほらみーちゃんと おかあちゃんと おまえで ふんせんもって ピースしよう チーズ これ? これ? ピース みっちみちゃんと 行きない チーズして みっちもほら みじいちゃんと一緒にチーズして チーズ チーズ チーズして チーズは? 引っ張ったら 嫌や 嫌な知ってるからな わざとね これ? あ、どしたの? あ、だいたい 痛い いきだに? みーちゃんどこを戦えた? みーちゃん 全然わかってない みーちゃん痛いで痛いのを飛んでおけしたら これ! ごめんね さくらみにいた時に 服を引っ張って やったからそれずっと覚えてるから 服を引っ張って何かしたの? 音符 音符 服を引っ張ってみーちゃん長いって何かしたの? 嫌だ嫌だ 嫌だ嫌だ みーちゃん何か あんまり外ってか あんまり外でこう ここらへん してるんだけど ポイしなさい そんなバッチから ポイして みーちゃんやられすもん なんだかよくわかってない みたいな
